time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-02-10,17,29,39,14,22,36,52,21,47,57,35,51
2020-02-11,17,29,39,14,22,36,52,21,47,57,35,51
2020-02-12,35,18,53,21,16,53,39,41,74,70,45,46
2020-02-13,47,40,25,24,12,37,29,37,52,63,41,48
2020-02-14,27,31,39,14,26,16,34,39,45,67,34,34
2020-02-15,12,44,25,49,18,19,49,35,48,59,47,32
2020-02-16,18,30,35,10,23,25,33,40,54,62,67,35
2020-02-17,34,23,46,55,28,35,36,34,47,53,40,46
2020-02-18,28,32,26,43,29,19,30,36,31,52,35,48
2020-02-19,26,23,48,29,23,14,31,40,55,60,36,52
2020-02-20,42,28,31,38,21,17,33,30,51,48,36,34
2020-02-21,23,35,40,41,19,21,40,38,59,50,28,42
2020-02-22,30,10,38,14,27,27,32,40,48,64,44,35
2020-02-23,27,42,34,29,21,14,29,35,78,70,34,33
2020-02-24,27,42,34,29,21,14,29,35,78,70,34,33
2020-02-25,35,35,34,40,25,29,32,41,48,54,36,32
2020-02-26,36,32,35,34,37,28,34,29,52,46,39,41
2020-02-27,34,31,21,38,25,22,35,44,49,63,32,45
2020-02-28,37,43,30,29,29,19,34,32,53,46,32,38
2020-02-29,28,35,42,26,27,43,32,39,51,61,34,33
2020-03-01,26,23,39,26,27,39,45,30,52,68,40,34
2020-03-02,30,28,37,45,33,23,39,38,54,62,29,26
2020-03-03,27,24,29,31,22,17,27,57,58,57,34,35
2020-03-04,28,36,33,42,26,52,42,37,60,51,31,38
2020-03-05,43,32,38,15,17,27,30,36,46,45,33,46
2020-03-06,35,27,49,30,31,30,34,37,50,52,27,42
2020-03-07,15,22,29,29,26,39,38,47,75,46,33,30
2020-03-08,21,38,56,39,21,26,29,31,59,69,47,43
2020-03-09,35,35,29,29,21,26,31,39,48,59,36,29
2020-03-10,35,33,27,29,11,20,37,35,6,52,36,43
2020-03-11,30,33,42,33,32,31,35,40,56,64,32,24
2020-03-12,37,25,26,38,23,34,37,44,57,62,31,40
2020-03-13,28,29,28,49,34,24,47,28,46,55,33,42
2020-03-14,37,33,22,29,25,9,48,27,61,79,37,40
2020-03-15,44,43,32,14,14,32,35,21,46,64,39,36
2020-03-16,31,30,33,28,24,35,32,36,57,54,21,23
2020-03-17,31,29,34,34,29,10,42,44,55,53,34,28
2020-03-18,23,27,34,30,26,27,44,34,55,60,32,30
2020-03-19,34,31,35,25,28,23,44,33,48,47,28,33
2020-03-20,30,40,17,29,20,20,39,28,50,48,30,38
2020-03-21,31,26,11,27,29,6,37,29,45,64,27,26
2020-03-22,21,14,36,86,11,42,23,28,44,45,20,46
2020-03-23,26,34,19,38,30,20,30,19,21,43,34,27
2020-03-24,26,49,32,37,37,22,30,33,56,48,23,22
2020-03-25,37,33,30,42,32,12,41,37,49,75,26,24
2020-03-26,23,24,38,24,26,11,28,34,35,53,29,30
2020-03-27,24,33,33,28,26,17,29,37,47,55,33,24
2020-03-28,34,35,32,34,20,21,27,31,53,36,30,40
2020-03-29,32,35,27,31,25,30,35,37,61,63,46,40
2020-03-30,29,30,32,25,22,15,35,33,10,40,24,21
2020-03-31,34,33,31,22,32,18,34,23,45,54,24,25
2020-04-01,29,39,24,41,23,11,40,26,33,45,23,25
2020-04-02,34,30,30,37,25,19,35,29,16,32,18,27
2020-04-03,28,34,35,38,14,12,32,32,46,48,19,25
2020-04-04,28,32,31,36,35,37,37,38,55,48,43,41
2020-04-05,29,15,20,48,24,28,30,36,51,48,26,37
2020-04-06,20,33,36,29,13,31,53,41,43,52,24,34
2020-04-07,43,34,27,27,29,18,33,28,22,48,22,23
2020-04-08,28,25,34,23,23,21,29,26,33,56,26,25
2020-04-09,27,27,27,48,27,7,31,35,33,53,28,19
2020-04-10,39,32,39,20,20,17,37,23,27,46,18,21
2020-04-11,45,39,30,29,15,26,23,31,56,63,34,27
2020-04-12,32,25,39,19,35,22,50,33,59,49,40,40
2020-04-13,32,25,39,19,35,22,50,33,59,49,40,40
2020-04-14,31,31,30,23,22,22,40,27,30,50,16,24
2020-04-15,31,33,28,30,19,21,33,31,33,51,24,19
2020-04-16,24,30,32,41,21,11,45,32,25,51,33,24
2020-04-17,28,34,31,33,25,10,32,33,23,56,26,23
2020-04-18,36,26,31,39,29,31,33,40,36,45,27,39
2020-04-19,37,30,5,29,33,26,37,41,57,56,34,53
2020-04-20,37,30,35,51,17,11,49,26,15,50,22,24
2020-04-21,25,38,31,36,19,17,36,30,17,51,26,17
2020-04-22,34,32,37,31,30,29,37,26,14,62,23,17
2020-04-23,29,29,33,28,30,24,39,36,16,53,19,16
2020-04-24,33,28,32,34,22,17,34,43,23,53,26,26
2020-04-25,28,15,43,33,28,43,36,52,55,50,32,36
2020-04-26,30,24,24,29,18,19,33,31,28,58,32,23
2020-04-27,41,29,23,42,16,19,37,26,13,58,12,25
2020-04-28,24,23,39,30,21,10,43,27,16,63,22,20
2020-04-29,36,27,38,22,25,15,31,33,36,65,28,23
2020-04-30,35,28,29,31,23,21,34,32,17,57,35,30
2020-05-01,27,20,33,38,28,45,31,34,54,53,34,34
2020-05-02,36,31,26,18,33,22,40,22,61,47,30,39
2020-05-03,31,41,32,14,36,24,30,38,40,60,31,43
2020-05-04,46,21,37,24,18,27,34,40,51,59,36,31
2020-05-05,35,23,16,28,30,28,46,40,51,49,31,42
2020-05-06,23,35,21,21,14,21,32,29,5,59,28,19
2020-05-07,29,25,31,32,21,14,33,25,14,59,16,24
2020-05-08,22,34,39,32,22,13,37,30,8,54,20,24
2020-05-09,30,28,32,36,15,16,31,35,54,47,34,28
2020-05-10,30,28,32,36,15,16,31,35,54,47,34,28
2020-05-11,30,28,32,36,15,16,31,35,54,47,34,28
2020-05-12,31,29,31,27,21,21,37,23,16,51,18,21
2020-05-13,24,36,32,30,23,8,32,29,19,46,24,21
2020-05-14,26,23,23,39,24,15,34,25,31,52,22,19
2020-05-15,26,26,33,43,21,12,37,28,51,55,30,25
2020-05-16,21,27,33,32,23,25,35,29,25,64,34,46
2020-05-17,21,32,37,29,24,31,31,36,48,44,33,37
2020-05-18,32,23,26,25,22,24,40,14,12,54,34,28
2020-05-19,28,31,28,38,15,26,35,25,13,51,22,23
2020-05-20,33,27,28,30,19,16,30,33,12,53,34,22
2020-05-21,28,23,26,29,27,6,34,34,54,49,32,23
2020-05-22,24,36,26,45,23,20,41,20,13,61,21,22
2020-05-23,19,38,38,35,29,23,33,43,61,83,33,47
2020-05-24,34,37,38,29,19,37,33,51,56,64,36,42
2020-05-25,34,34,31,30,21,18,40,26,10,47,30,23
2020-05-26,26,34,32,35,22,19,37,29,15,63,27,15
2020-05-27,28,20,28,32,24,23,37,29,20,50,34,22
2020-05-28,30,33,31,31,25,18,40,38,51,48,34,24
2020-05-29,24,31,37,16,18,22,35,34,28,48,30,24
2020-05-30,39,29,26,20,31,21,41,42,52,49,35,38
2020-05-31,33,37,32,31,26,18,39,35,57,48,33,38
2020-06-01,35,33,33,43,22,25,29,44,53,47,36,24
2020-06-02,31,31,29,35,22,19,37,32,36,58,33,23
2020-06-03,27,29,31,29,25,25,33,32,20,49,33,20
2020-06-04,26,30,27,28,23,24,39,30,45,58,35,21
2020-06-05,33,30,33,35,14,21,30,35,55,62,32,26
2020-06-06,20,30,30,34,17,26,34,40,55,50,31,34
2020-06-07,44,23,34,30,28,19,39,34,54,58,34,36
2020-06-08,39,27,18,43,20,14,36,26,6,53,35,26
2020-06-09,31,40,32,31,17,13,36,30,46,37,32,23
2020-06-10,32,35,37,35,20,18,32,18,26,61,30,24
2020-06-11,26,32,31,37,23,14,35,39,15,65,21,26
2020-06-12,25,32,24,31,20,20,33,27,15,47,30,25
2020-06-13,22,24,27,21,19,28,38,31,54,63,33,29
2020-06-14,29,42,30,23,25,33,37,38,59,60,33,41
2020-06-15,31,23,34,26,21,26,37,27,36,54,22,16
2020-06-16,27,30,32,10,27,25,39,45,52,52,31,28
2020-06-17,24,30,32,19,25,20,32,31,51,60,29,30
2020-06-18,33,30,32,33,26,33,32,34,47,49,35,32
2020-06-19,34,36,53,23,33,28,43,42,53,52,32,31
2020-06-20,34,36,53,23,33,28,43,42,53,52,32,31
2020-06-21,34,36,53,23,33,28,43,42,53,52,32,31
2020-06-22,28,30,31,36,19,33,40,46,55,55,36,36
2020-06-23,28,29,32,31,18,31,44,37,17,55,34,32
2020-06-24,32,34,27,30,27,30,38,34,56,48,33,35
2020-06-25,25,33,24,35,28,27,37,35,55,41,42,41
2020-06-26,25,30,38,26,38,26,36,40,54,58,38,41
2020-06-27,25,30,38,26,38,26,36,40,54,58,38,41
2020-06-28,25,30,38,26,38,26,36,40,54,58,38,41
2020-06-29,25,30,38,26,38,26,36,40,54,58,38,41
2020-06-30,35,20,28,44,18,37,29,26,45,52,30,31
2020-07-01,29,29,33,29,21,22,29,32,57,50,24,33
2020-07-02,22,17,25,51,13,16,41,42,23,41,34,27
2020-07-03,36,28,42,38,44,35,24,21,46,38,20,23
2020-07-04,36,33,38,40,19,25,46,22,35,39,25,31
2020-07-05,30,24,39,44,35,25,31,34,26,74,35,27
2020-07-06,33,32,31,61,17,17,44,33,51,48,34,30
2020-07-07,30,29,31,23,22,19,33,32,34,49,29,24
2020-07-08,34,31,25,40,21,24,41,38,52,52,33,29
2020-07-09,19,31,31,33,14,9,38,28,16,51,29,25
2020-07-10,30,27,32,37,23,32,35,37,44,56,35,31
2020-07-11,39,24,29,11,16,22,36,40,59,66,35,38
2020-07-12,39,33,21,32,25,15,41,35,48,57,40,40
2020-07-13,31,34,30,15,24,22,32,33,20,57,31,24
2020-07-14,28,32,33,20,28,20,30,15,52,47,29,29
2020-07-15,25,34,27,44,21,20,37,32,8,53,29,22
2020-07-16,33,30,30,31,25,25,38,37,26,60,32,26
2020-07-17,38,33,35,29,18,10,32,34,10,56,32,22
2020-07-18,13,28,39,47,24,18,33,34,59,55,38,32
2020-07-19,28,38,31,25,27,30,35,35,65,53,38,42
2020-07-20,29,38,30,31,22,20,35,35,14,63,33,17
2020-07-21,29,29,29,30,27,16,36,34,8,52,26,25
2020-07-22,31,27,44,48,16,16,36,35,30,60,38,23
2020-07-23,35,35,28,29,18,14,35,9,37,57,29,22
2020-07-24,30,34,30,31,17,12,38,34,23,50,33,27
2020-07-25,30,39,32,35,17,34,37,32,53,54,34,32
2020-07-26,32,39,32,14,22,21,26,40,56,56,38,45
2020-07-27,25,18,33,35,23,12,41,35,7,66,35,24
2020-07-28,38,29,32,25,24,18,39,27,18,54,35,30
2020-07-29,29,31,32,36,18,18,34,25,10,60,39,27
2020-07-30,26,27,33,30,16,20,39,32,7,61,29,23
2020-07-31,31,28,32,40,18,22,37,29,24,57,33,25
2020-08-01,31,25,33,45,22,20,36,36,57,56,36,32
2020-08-02,33,27,35,24,18,25,39,43,57,77,35,41
2020-08-03,34,22,40,48,25,12,36,29,53,59,38,25
2020-08-04,29,33,34,35,17,19,36,34,51,45,33,29
2020-08-05,34,31,34,37,19,32,33,30,53,61,36,28
2020-08-06,39,28,27,33,19,24,36,34,51,51,30,29
2020-08-07,31,35,30,21,14,19,37,28,19,56,37,20
2020-08-08,26,23,38,36,23,15,31,33,51,50,36,36
2020-08-09,30,48,26,38,19,23,37,37,56,40,40,46
2020-08-10,33,31,36,31,26,21,33,30,24,27,32,28
2020-08-11,18,29,23,39,18,21,48,28,72,47,38,34
2020-08-12,28,26,27,28,18,24,36,27,40,56,31,42
2020-08-13,32,23,40,37,22,15,35,29,21,63,31,27
2020-08-14,32,23,40,37,22,15,35,29,21,63,31,27
2020-08-15,32,23,40,37,22,15,35,29,21,63,31,27
2020-08-16,25,27,34,20,24,21,42,40,49,58,39,37
2020-08-17,34,30,36,36,13,20,33,28,21,62,34,23
2020-08-18,29,24,38,20,21,19,34,35,14,51,26,25
2020-08-19,29,24,38,20,21,19,34,35,14,51,26,25
2020-08-20,29,24,38,20,21,19,34,35,14,51,26,25
2020-08-21,25,27,33,30,20,16,37,28,28,64,32,23
2020-08-22,31,37,48,41,18,22,35,32,56,53,33,33
2020-08-23,31,37,48,41,18,22,35,32,56,53,33,33
2020-08-24,34,30,32,26,19,12,36,31,43,54,32,16
2020-08-25,30,28,38,29,19,15,40,32,38,59,25,26
2020-08-26,30,28,38,29,19,15,40,32,38,59,25,26
2020-08-27,30,28,38,29,19,15,40,32,38,59,25,26
2020-08-28,30,28,38,29,19,15,40,32,38,59,25,26
2020-08-29,30,27,30,27,23,21,38,22,50,58,27,31
2020-08-30,30,27,30,27,23,21,38,22,50,58,27,31
2020-08-31,30,27,30,27,23,21,38,22,50,58,27,31
2020-09-01,21,17,34,33,18,5,28,21,19,61,45,36
2020-09-02,33,33,25,30,12,20,32,30,9,60,28,26
2020-09-03,30,30,31,29,16,16,36,28,43,45,30,20
2020-09-04,30,30,31,29,16,16,36,28,43,45,30,20
2020-09-05,30,30,31,29,16,16,36,28,43,45,30,20
2020-09-06,24,32,37,35,28,26,34,42,57,48,27,40
2020-09-07,30,23,39,28,10,14,38,33,13,55,36,23
2020-09-08,38,25,36,29,20,13,37,20,10,57,25,16
2020-09-09,38,25,36,29,20,13,37,20,10,57,25,16
2020-09-10,33,37,38,20,14,19,35,32,11,48,35,25
2020-09-11,37,20,30,38,23,13,33,35,26,44,32,22
2020-09-12,22,28,43,37,29,16,32,30,50,42,36,31
2020-09-13,22,28,43,37,29,16,32,30,50,42,36,31
2020-09-14,22,28,43,37,29,16,32,30,50,42,36,31
2020-09-15,27,30,36,33,11,10,37,18,36,56,28,21
2020-09-16,27,25,37,16,20,15,33,26,18,54,34,17
2020-09-17,27,25,37,16,20,15,33,26,18,54,34,17
2020-09-18,25,41,33,22,17,11,38,22,17,58,37,25
2020-09-19,21,21,27,36,26,29,31,24,44,48,38,32
2020-09-20,21,21,27,36,26,29,31,24,44,48,38,32
2020-09-21,21,21,27,36,26,29,31,24,44,48,38,32
2020-09-22,34,35,42,20,16,13,40,33,43,47,31,23
2020-09-23,25,28,22,24,28,17,40,25,5,47,18,22
2020-09-24,33,34,21,18,18,25,35,30,14,45,31,27
2020-09-25,24,33,41,29,17,16,43,20,17,53,42,18
2020-09-26,22,28,33,45,25,23,34,28,47,45,27,31
2020-09-27,37,37,42,56,17,29,37,13,11,37,27,21
2020-09-28,42,34,47,24,15,22,32,31,14,47,31,30
2020-09-29,26,29,33,38,12,20,28,15,19,63,26,15
2020-09-30,38,28,21,26,21,22,31,14,25,54,32,22
