time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1,盘古大观_北辰西路_NS_6,盘古大观_北辰西路_SN_3
2020-03-06,32,26,42,15,24,20,37,37,27,58,28,32,41,36
2020-03-07,22,33,41,29,27,31,49,47,56,63,31,42,45,19
2020-03-08,44,48,46,45,18,33,40,30,63,72,43,44,37,36
2020-03-09,34,33,32,22,16,10,41,32,27,52,28,23,28,28
2020-03-10,42,26,30,34,14,33,39,38,14,51,30,33,22,35
2020-03-11,35,35,31,30,27,18,35,42,11,55,33,26,37,40
2020-03-12,37,28,30,33,25,21,35,28,28,50,29,23,32,32
2020-03-13,30,35,29,31,31,18,37,30,23,53,26,26,41,30
2020-03-14,36,35,14,41,30,19,36,34,50,68,40,34,43,45
2020-03-15,37,33,34,40,27,39,34,43,59,84,38,38,46,34
2020-03-16,37,26,30,37,24,20,38,39,11,50,21,26,16,31
2020-03-17,34,36,32,29,18,18,40,38,26,47,30,25,29,30
2020-03-18,33,31,32,36,26,19,38,35,26,45,27,27,35,39
2020-03-19,46,33,34,33,21,14,39,33,26,48,30,26,29,34
2020-03-20,37,30,35,38,19,28,30,35,28,51,33,26,31,30
2020-03-21,34,34,14,30,22,37,24,33,53,62,53,36,49,31
2020-03-22,28,49,25,43,24,77,35,30,42,50,30,45,43,25
2020-03-23,48,22,35,23,23,38,51,23,12,42,28,25,22,30
2020-03-24,25,26,34,26,26,27,38,35,12,53,26,21,39,33
2020-03-25,28,28,36,22,23,23,38,27,24,55,25,22,39,33
2020-03-26,31,32,30,38,28,18,40,39,10,53,25,21,27,33
2020-03-27,27,27,26,30,16,15,32,30,14,51,25,23,30,37
2020-03-28,25,32,38,13,20,36,40,33,59,63,33,37,48,63
2020-03-29,27,28,30,72,37,32,40,32,59,39,37,43,30,25
2020-03-30,33,33,32,27,16,16,39,32,9,45,25,22,32,35
2020-03-31,27,32,25,25,23,18,37,31,15,41,26,22,24,35
2020-04-01,26,33,24,11,19,22,32,24,12,34,23,23,22,25
2020-04-02,25,31,34,32,16,21,35,29,11,46,30,24,40,34
2020-04-03,25,33,35,33,23,23,38,26,18,44,25,25,27,39
2020-04-04,36,31,46,53,26,24,35,27,52,61,35,36,48,43
2020-04-05,39,49,33,29,23,36,36,41,58,63,36,44,40,22
2020-04-06,23,44,24,37,20,25,39,31,55,57,41,42,39,39
2020-04-07,36,28,30,46,24,20,40,31,10,41,25,20,23,38
2020-04-08,29,29,27,30,26,22,42,32,9,59,21,22,28,39
2020-04-09,28,30,30,28,21,20,34,32,10,51,28,19,27,30
2020-04-10,35,22,42,32,23,17,29,25,10,56,25,21,22,35
2020-04-11,31,33,32,11,24,24,35,43,58,71,37,36,43,32
2020-04-12,30,33,44,24,29,25,29,41,54,64,39,51,32,33
2020-04-13,30,33,44,24,29,25,29,41,54,64,39,51,32,33
2020-04-14,33,26,27,31,23,16,39,34,11,51,20,19,23,38
2020-04-15,35,34,27,25,18,17,36,34,20,59,26,18,24,32
2020-04-16,30,28,34,27,19,15,37,30,9,57,22,20,29,38
2020-04-17,30,30,27,36,29,18,35,31,10,54,29,22,25,31
2020-04-18,44,36,27,24,27,18,35,32,52,52,29,40,54,40
2020-04-19,29,34,24,27,32,26,32,40,49,63,39,37,38,38
2020-04-20,30,27,37,37,15,18,32,32,7,58,25,19,22,36
2020-04-21,29,29,29,47,30,20,35,35,7,53,24,20,22,38
2020-04-22,31,26,28,34,24,17,35,36,7,53,25,21,15,33
2020-04-23,28,31,21,28,23,22,35,35,6,51,18,23,25,34
2020-04-24,24,31,23,22,19,16,34,35,10,51,22,25,26,36
2020-04-25,36,30,32,26,14,22,36,34,54,44,33,38,41,35
2020-04-26,29,32,33,33,24,18,32,36,11,62,26,25,36,32
2020-04-27,28,33,31,40,13,14,37,30,6,56,7,21,17,37
2020-04-28,34,28,32,44,21,19,36,33,6,50,13,22,19,36
2020-04-29,34,28,32,32,17,19,33,29,6,56,23,23,21,34
2020-04-30,36,26,32,28,16,16,35,26,8,46,20,26,19,32
2020-05-01,25,30,30,27,22,20,38,37,57,51,32,41,38,30
2020-05-02,34,34,37,33,21,25,37,41,54,64,37,41,41,37
2020-05-03,34,21,37,26,24,28,35,38,54,59,34,40,45,33
2020-05-04,32,30,29,54,21,18,35,29,53,53,33,38,46,31
2020-05-05,26,36,37,30,25,33,36,37,57,66,29,42,43,34
2020-05-06,30,30,34,37,15,18,35,18,6,52,15,18,18,30
2020-05-07,29,29,28,32,18,18,37,22,5,54,19,18,17,36
2020-05-08,29,29,30,36,25,14,35,21,5,61,15,17,16,36
2020-05-09,30,28,32,48,24,15,38,32,27,58,28,25,33,40
2020-05-10,30,28,32,48,24,15,38,32,27,58,28,25,33,40
2020-05-11,30,28,32,48,24,15,38,32,27,58,28,25,33,40
2020-05-12,28,27,30,42,20,18,38,23,5,57,20,19,22,28
2020-05-13,28,32,34,26,19,20,34,17,6,60,14,21,26,31
2020-05-14,30,31,31,42,18,15,35,31,7,43,18,24,26,28
2020-05-15,30,31,27,38,15,18,35,27,7,54,20,22,23,33
2020-05-16,46,27,26,26,20,26,35,35,55,55,34,37,41,42
2020-05-17,36,33,30,36,26,22,39,33,51,55,35,37,43,44
2020-05-18,26,29,38,37,21,17,36,16,6,62,28,20,23,34
2020-05-19,33,30,29,32,23,15,35,20,7,54,15,18,17,29
2020-05-20,27,31,29,34,21,19,37,22,6,57,22,20,23,35
2020-05-21,33,31,32,44,23,11,35,32,9,51,28,20,16,35
2020-05-22,28,28,28,30,19,13,35,26,8,60,15,21,23,44
2020-05-23,29,31,43,43,25,20,35,32,50,52,35,44,42,32
2020-05-24,33,39,30,35,26,26,37,37,55,60,35,46,40,50
2020-05-25,31,32,26,33,22,23,34,21,5,53,13,21,19,33
2020-05-26,29,27,32,31,16,16,35,28,20,54,22,21,30,38
2020-05-27,27,29,30,43,17,16,33,32,8,56,23,16,25,35
2020-05-28,30,29,26,30,17,20,31,32,9,57,28,22,25,38
2020-05-29,27,33,25,38,19,21,38,29,11,60,24,23,30,34
2020-05-30,37,24,49,58,18,29,33,31,54,52,34,32,31,41
2020-05-31,28,29,32,38,26,35,36,36,55,57,35,45,44,32
2020-06-01,31,30,33,30,23,16,38,27,10,50,29,21,32,34
2020-06-02,32,26,31,15,18,19,33,28,9,49,17,23,21,34
2020-06-03,30,30,29,30,19,20,37,32,6,61,23,16,34,41
2020-06-04,32,35,30,40,20,18,38,28,7,56,24,23,30,34
2020-06-05,34,33,32,43,19,19,41,33,11,56,21,22,35,36
2020-06-06,37,30,30,35,13,26,33,35,46,49,34,32,44,48
2020-06-07,31,28,32,30,26,25,38,36,57,49,38,42,38,41
2020-06-08,27,36,29,39,21,14,39,18,5,46,22,20,34,32
2020-06-09,30,40,30,26,17,16,37,23,10,58,28,24,19,42
2020-06-10,47,33,32,38,17,19,37,31,6,53,22,20,24,33
2020-06-11,22,31,25,34,15,14,38,20,6,53,21,19,22,38
2020-06-12,21,26,29,45,21,18,38,22,6,62,29,15,21,41
2020-06-13,27,25,32,32,16,31,34,39,54,58,35,38,36,34
2020-06-14,26,31,33,32,23,37,36,37,58,57,35,37,33,35
2020-06-15,37,30,27,28,15,17,33,30,19,55,20,18,37,33
2020-06-16,34,25,57,54,28,21,34,22,30,50,22,22,25,34
2020-06-17,28,26,35,40,24,24,40,32,51,50,30,21,34,30
2020-06-18,33,34,32,38,22,25,34,39,14,52,30,27,36,32
2020-06-19,31,32,30,26,26,23,40,35,47,51,33,28,30,34
2020-06-20,31,32,30,26,26,23,40,35,47,51,33,28,30,34
2020-06-21,31,32,30,26,26,23,40,35,47,51,33,28,30,34
2020-06-22,27,32,29,28,28,21,38,29,32,54,31,25,44,34
2020-06-23,28,29,34,26,24,23,30,37,15,54,28,24,41,35
2020-06-24,30,31,39,26,24,24,27,30,37,52,30,28,35,37
2020-06-25,30,31,31,12,19,26,21,43,57,54,33,38,44,40
2020-06-26,20,37,33,45,42,34,30,36,63,58,41,38,48,31
2020-06-27,20,37,33,45,42,34,30,36,63,58,41,38,48,31
2020-06-28,20,37,33,45,42,34,30,36,63,58,41,38,48,31
2020-06-29,20,37,33,45,42,34,30,36,63,58,41,38,48,31
2020-06-30,27,32,28,26,21,22,39,39,25,49,29,22,38,35
2020-07-01,29,29,29,39,22,20,36,33,36,59,27,28,33,35
2020-07-02,29,41,27,28,36,15,30,34,12,57,31,25,28,44
2020-07-03,43,28,41,20,25,21,41,23,17,50,24,27,33,34
2020-07-04,32,47,38,33,30,29,41,32,53,63,27,47,28,36
2020-07-05,32,47,38,33,30,29,41,32,53,63,27,47,28,36
2020-07-06,29,30,34,26,25,17,35,33,29,57,31,20,25,33
2020-07-07,26,27,33,24,23,21,37,31,12,54,32,23,34,35
2020-07-08,35,32,37,26,21,24,38,30,22,56,28,23,36,33
2020-07-09,32,30,27,29,19,13,36,23,10,56,15,20,30,35
2020-07-10,33,32,29,32,17,19,37,27,9,52,29,22,30,39
2020-07-11,27,27,34,31,22,23,40,35,59,58,36,37,50,33
2020-07-12,36,28,31,21,24,31,37,34,51,57,39,43,48,39
2020-07-13,32,34,31,34,23,23,36,23,10,56,25,16,32,33
2020-07-14,29,33,27,30,14,25,42,23,12,55,21,22,30,30
2020-07-15,32,30,35,30,17,14,40,35,7,53,30,22,25,36
2020-07-16,31,30,33,36,17,24,36,31,11,55,30,21,33,35
2020-07-17,25,26,36,33,18,12,37,35,8,52,22,19,36,36
2020-07-18,22,33,37,35,26,27,36,38,54,62,35,38,39,32
2020-07-19,32,35,35,30,28,24,38,32,63,50,35,41,42,25
2020-07-20,33,27,35,23,11,14,39,30,9,59,29,20,37,35
2020-07-21,32,21,33,37,17,19,38,23,7,60,26,24,29,33
2020-07-22,29,35,35,35,17,16,38,18,8,45,32,23,23,38
2020-07-23,30,35,35,21,18,14,35,25,11,58,27,23,31,38
2020-07-24,27,31,41,28,16,13,37,28,19,55,27,21,24,37
2020-07-25,25,40,39,31,19,22,37,27,53,65,36,35,41,38
2020-07-26,24,22,33,40,23,20,39,36,56,53,41,37,31,44
2020-07-27,30,32,32,34,16,16,35,15,8,47,15,17,19,35
2020-07-28,28,29,32,24,15,18,35,19,8,57,30,24,24,41
2020-07-29,30,30,38,29,15,16,39,18,9,50,32,22,25,36
2020-07-30,32,32,29,27,14,14,35,22,7,55,34,22,21,34
2020-07-31,29,30,33,43,12,16,35,21,8,57,30,22,21,42
2020-08-01,34,32,33,27,22,24,36,34,55,50,36,40,44,39
2020-08-02,26,27,35,32,28,28,36,36,55,58,36,40,29,39
2020-08-03,33,29,35,30,18,11,38,20,12,59,24,19,23,35
2020-08-04,28,28,38,48,15,13,36,30,11,54,35,22,20,34
2020-08-05,30,28,35,29,16,27,38,31,17,52,31,21,26,32
2020-08-06,42,29,35,25,17,13,37,32,13,58,31,22,17,39
2020-08-07,28,25,29,25,14,11,33,29,8,52,26,18,26,37
2020-08-08,53,29,33,36,18,24,41,38,51,51,35,34,31,38
2020-08-09,34,41,33,36,23,17,37,37,57,61,37,41,46,34
2020-08-10,31,28,34,33,20,16,37,19,6,29,34,21,26,34
2020-08-11,26,31,31,25,21,11,38,27,13,56,33,24,26,36
2020-08-12,32,30,37,30,16,21,38,25,7,47,30,28,39,39
2020-08-13,37,30,36,36,13,15,39,20,10,53,29,20,32,32
2020-08-14,37,30,36,36,13,15,39,20,10,53,29,20,32,32
2020-08-15,37,30,36,36,13,15,39,20,10,53,29,20,32,32
2020-08-16,27,29,43,35,26,27,36,33,56,60,37,36,50,37
2020-08-17,31,35,31,41,15,16,37,17,7,59,29,20,25,35
2020-08-18,31,32,29,20,19,18,35,23,10,59,20,24,24,40
2020-08-19,31,32,29,20,19,18,35,23,10,59,20,24,24,40
2020-08-20,31,32,29,20,19,18,35,23,10,59,20,24,24,40
2020-08-21,32,29,32,35,16,18,35,18,11,52,31,22,27,35
2020-08-22,25,27,31,31,18,25,34,34,52,54,34,34,47,38
2020-08-23,27,30,35,33,17,29,37,36,45,54,37,46,42,34
2020-08-24,31,25,39,25,14,15,34,33,10,59,27,17,20,38
2020-08-25,35,34,31,28,15,17,38,24,15,62,25,21,34,29
2020-08-26,35,34,31,28,15,17,38,24,15,62,25,21,34,29
2020-08-27,35,34,31,28,15,17,38,24,15,62,25,21,34,29
2020-08-28,29,30,31,24,19,14,38,31,12,54,29,24,23,36
2020-08-29,29,28,45,35,19,24,36,18,51,57,25,33,47,39
2020-08-30,29,28,45,35,19,24,36,18,51,57,25,33,47,39
2020-08-31,29,28,45,35,19,24,36,18,51,57,25,33,47,39
2020-09-01,30,31,37,31,18,13,36,24,7,58,22,19,31,37
2020-09-02,35,33,31,21,15,24,39,21,8,60,25,17,26,39
2020-09-03,30,32,33,29,20,15,36,29,9,56,25,21,32,37
2020-09-04,30,32,33,29,20,15,36,29,9,56,25,21,32,37
2020-09-05,30,32,33,29,20,15,36,29,9,56,25,21,32,37
2020-09-06,23,29,40,30,24,36,38,38,55,56,32,37,36,35
2020-09-07,33,35,35,32,11,12,36,31,7,60,32,17,37,41
2020-09-08,30,34,36,30,21,16,40,25,5,50,17,17,35,39
2020-09-09,30,34,36,30,21,16,40,25,5,50,17,17,35,39
2020-09-10,31,27,32,30,19,19,35,24,7,57,29,20,22,35
2020-09-11,27,31,39,38,18,15,35,23,9,55,25,18,22,37
2020-09-12,22,25,35,38,21,21,35,38,46,33,36,32,43,29
2020-09-13,22,25,35,38,21,21,35,38,46,33,36,32,43,29
2020-09-14,22,25,35,38,21,21,35,38,46,33,36,32,43,29
2020-09-15,26,30,33,31,19,14,36,25,9,57,21,17,16,31
2020-09-16,30,32,35,26,36,15,34,26,8,48,17,24,25,38
2020-09-17,41,45,56,16,45,37,40,20,9,64,14,26,7,21
2020-09-18,31,31,38,44,14,20,37,28,6,59,30,19,20,35
2020-09-19,20,24,27,35,23,29,32,17,43,51,35,31,40,31
2020-09-20,20,24,27,35,23,29,32,17,43,51,35,31,40,31
2020-09-21,20,24,27,35,23,29,32,17,43,51,35,31,40,31
2020-09-22,28,25,36,33,18,16,37,18,8,52,23,22,38,38
2020-09-23,24,28,27,15,17,14,38,18,7,44,19,24,16,36
2020-09-24,33,31,38,30,17,20,37,26,9,54,29,21,31,38
2020-09-25,30,33,32,31,15,19,37,23,8,53,24,23,25,32
2020-09-26,29,29,31,37,26,26,36,32,48,49,30,28,40,39
2020-09-27,37,33,35,44,21,17,34,27,6,53,18,24,23,32
2020-09-28,34,35,29,30,16,19,36,24,7,53,28,19,34,35
2020-09-29,25,26,32,28,11,15,28,22,10,51,16,20,18,35
2020-09-30,27,27,30,38,21,22,34,13,11,46,35,22,33,33
